clase,rank,token,chi2
1,1,pobreza,161.54360389306805
1,2,pobres,52.650746670332865
1,3,pobreza infantil,28.648372115823122
1,4,ingresos,27.79368781630573
1,5,hogares,27.732466065730925
1,6,privacion,24.204098429139176
1,7,umbral,19.90136720573165
1,8,extrema,18.547132505555922
1,9,linea pobreza,18.49310385685169
1,10,tasa pobreza,17.33732212803391
