clase,rank,token,chi2
4,1,estudiantes,37.94878522160275
4,2,escuelas,36.89066738364241
4,3,educacion,36.408491844700904
4,4,pobreza,30.73485343921103
4,5,aprendizaje,28.850236148184983
4,6,salud,28.486407691473644
4,7,docentes,26.735715405374123
4,8,alumnos,23.327244658843405
4,9,escuela,22.510257426871526
4,10,atencion,19.886645607479924
